,temp=27.275909090909096,temp=28.18477272727273,temp=29.093636363636367,temp=30.002500000000005,temp=30.91136363636364,temp=31.820227272727276,temp=32.72909090909091,temp=33.63795454545455,temp=34.54681818181818,temp=35.455681818181816,temp=36.36454545454546,temp=37.27340909090909,temp=38.182272727272725,temp=39.091136363636366,temp=40.0
2067,0.375,0.25,0.125,0.125,0.25,0.5,0.25,0.0,0.5,0.0,0.375,0.375,0.125,0.375,0.25
2068,0.5,0.375,0.25,0.25,0.125,0.5,0.375,0.125,0.625,0.125,0.5,0.25,0.25,0.5,0.375
2069,0.375,0.25,0.125,0.125,0.25,0.625,0.5,0.0,0.75,0.25,0.375,0.125,0.375,0.625,0.25
2070,0.5,0.375,0.25,0.0,0.125,0.5,0.625,0.125,0.625,0.125,0.5,0.25,0.5,0.625,0.125
2071,0.625,0.25,0.125,0.125,0.0,0.375,0.5,0.125,0.5,0.0,0.625,0.125,0.375,0.5,0.25
2072,0.5,0.125,0.0,0.25,0.125,0.25,0.375,0.125,0.625,0.125,0.625,0.0,0.25,0.375,0.25
2073,0.625,0.0,0.125,0.125,0.0,0.125,0.25,0.0,0.625,0.0,0.5,0.125,0.125,0.5,0.25
2074,0.75,0.125,0.25,0.25,0.125,0.25,0.125,0.125,0.5,0.125,0.5,0.0,0.25,0.625,0.125
2075,0.625,0.125,0.125,0.375,0.25,0.125,0.25,0.0,0.375,0.25,0.625,0.125,0.125,0.5,0.0
2076,0.625,0.0,0.0,0.25,0.375,0.0,0.125,0.125,0.375,0.375,0.5,0.0,0.25,0.375,0.125
2077,0.625,0.0,0.125,0.125,0.25,0.125,0.0,0.0,0.25,0.5,0.625,0.125,0.125,0.25,0.0
2078,0.75,0.125,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.375,0.5,0.25,0.0,0.125,0.125
2079,0.875,0.0,0.125,0.125,0.0,0.125,0.0,0.25,0.25,0.25,0.375,0.375,0.125,0.0,0.0
2080,1.0,0.125,0.125,0.0,0.125,0.25,0.125,0.375,0.375,0.125,0.25,0.25,0.0,0.125,0.125
2081,0.875,0.25,0.0,0.125,0.0,0.25,0.0,0.375,0.5,0.0,0.125,0.125,0.125,0.25,0.25
2082,0.75,0.125,0.125,0.25,0.125,0.125,0.125,0.5,0.375,0.125,0.0,0.0,0.0,0.125,0.125
2083,0.625,0.25,0.0,0.125,0.0,0.25,0.0,0.375,0.25,0.25,0.125,0.125,0.125,0.25,0.0
2084,0.5,0.125,0.125,0.25,0.125,0.125,0.125,0.5,0.375,0.125,0.0,0.0,0.0,0.125,0.125
2085,0.5,0.25,0.0,0.125,0.0,0.25,0.0,0.375,0.375,0.25,0.125,0.125,0.125,0.25,0.0
2086,0.5,0.125,0.125,0.25,0.125,0.125,0.125,0.25,0.25,0.125,0.0,0.0,0.125,0.375,0.0
2087,0.375,0.0,0.0,0.375,0.25,0.25,0.25,0.375,0.125,0.0,0.125,0.125,0.25,0.25,0.125
2088,0.25,0.125,0.125,0.25,0.125,0.125,0.125,0.5,0.0,0.125,0.25,0.25,0.125,0.125,0.0
2089,0.375,0.0,0.0,0.25,0.0,0.0,0.25,0.625,0.125,0.0,0.375,0.125,0.0,0.0,0.125
2090,0.25,0.125,0.125,0.125,0.125,0.125,0.375,0.5,0.25,0.125,0.5,0.0,0.125,0.125,0.0
2091,0.125,0.0,0.0,0.25,0.25,0.0,0.25,0.375,0.125,0.0,0.625,0.125,0.25,0.25,0.125
2092,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.5,0.25,0.125,0.5,0.25,0.25,0.125,0.0
2093,0.125,0.25,0.0,0.125,0.25,0.125,0.0,0.625,0.125,0.25,0.625,0.125,0.375,0.0,0.125
2094,0.25,0.375,0.125,0.0,0.375,0.25,0.125,0.75,0.25,0.375,0.75,0.25,0.5,0.125,0.0
2095,0.125,0.375,0.0,0.125,0.25,0.125,0.0,0.625,0.25,0.5,0.625,0.125,0.375,0.25,0.125
2096,0.0,0.25,0.125,0.25,0.375,0.25,0.125,0.75,0.125,0.375,0.5,0.0,0.5,0.125,0.0
2097,0.125,0.125,0.0,0.25,0.25,0.375,0.25,0.625,0.0,0.5,0.375,0.125,0.375,0.0,0.125
2098,0.25,0.25,0.125,0.125,0.375,0.5,0.125,0.5,0.125,0.625,0.25,0.25,0.25,0.125,0.0
2099,0.375,0.125,0.0,0.25,0.5,0.625,0.25,0.5,0.25,0.5,0.125,0.25,0.375,0.0,0.125
2100,0.25,0.0,0.125,0.375,0.5,0.5,0.375,0.625,0.25,0.625,0.25,0.125,0.25,0.125,0.25
2101,0.125,0.125,0.25,0.25,0.375,0.625,0.5,0.75,0.125,0.5,0.125,0.0,0.375,0.0,0.125
2102,0.0,0.0,0.125,0.125,0.5,0.5,0.625,0.625,0.0,0.375,0.25,0.125,0.25,0.125,0.25
2103,0.125,0.125,0.0,0.25,0.375,0.375,0.5,0.5,0.125,0.25,0.375,0.0,0.25,0.0,0.125
