,temp=0.01,temp=0.5,temp=1.0,temp=1.5,temp=2.0,temp=2.5,temp=3.0,temp=3.5,temp=4.0,temp=4.5,temp=5.0,temp=5.5,temp=6.0,temp=6.5,temp=7.0,temp=7.5,temp=8.0,temp=8.5,temp=9.0,temp=9.5,temp=10.0,temp=10.5,temp=11.0,temp=11.5,temp=12.0,temp=12.5,temp=13.0,temp=13.5,temp=14.0,temp=14.5,temp=15.0
17510,1.0,1.0,1.0,1.0,0.875,1.0,0.375,1.0,0.125,0.375,0.25,0.625,0.125,0.5,0.0,0.25,0.375,0.0,0.25,0.125,0.25,0.0,0.125,0.125,0.125,0.375,0.375,0.25,0.375,0.125,0.625
17511,1.0,1.0,1.0,1.0,0.875,1.0,0.25,0.875,0.0,0.375,0.25,0.625,0.25,0.5,0.0,0.375,0.25,0.125,0.25,0.0,0.375,0.125,0.25,0.25,0.25,0.5,0.25,0.125,0.375,0.25,0.5
17512,1.0,1.0,1.0,1.0,0.875,1.0,0.125,0.875,0.125,0.25,0.125,0.5,0.375,0.5,0.125,0.5,0.125,0.0,0.125,0.125,0.5,0.0,0.375,0.375,0.375,0.375,0.125,0.25,0.25,0.125,0.5
17513,1.0,1.0,1.0,1.0,0.875,0.875,0.0,0.875,0.125,0.375,0.0,0.375,0.375,0.625,0.25,0.375,0.125,0.125,0.0,0.125,0.375,0.0,0.25,0.25,0.25,0.5,0.0,0.125,0.375,0.25,0.5
17514,1.0,1.0,1.0,1.0,1.0,0.875,0.125,0.875,0.0,0.25,0.125,0.5,0.25,0.5,0.125,0.25,0.125,0.0,0.0,0.25,0.25,0.125,0.25,0.375,0.125,0.625,0.125,0.25,0.5,0.125,0.625
17515,1.0,1.0,1.0,1.0,1.0,0.75,0.125,0.875,0.125,0.25,0.125,0.375,0.125,0.5,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.25,0.375,0.25,0.125,0.5,0.0,0.125,0.375,0.0,0.5
17516,1.0,1.0,1.0,1.0,1.0,0.75,0.25,0.75,0.125,0.375,0.0,0.375,0.25,0.375,0.375,0.25,0.125,0.25,0.125,0.0,0.0,0.125,0.25,0.375,0.0,0.5,0.125,0.25,0.5,0.125,0.375
17517,1.0,1.0,1.0,1.0,1.0,0.625,0.375,0.75,0.125,0.5,0.125,0.25,0.375,0.25,0.375,0.125,0.25,0.125,0.0,0.125,0.125,0.0,0.125,0.375,0.125,0.5,0.25,0.375,0.625,0.0,0.25
17518,1.0,1.0,1.0,1.0,1.0,0.5,0.375,0.625,0.125,0.5,0.0,0.125,0.25,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.25,0.25,0.25,0.375,0.25,0.375,0.5,0.125,0.125
17519,1.0,1.0,1.0,1.0,1.0,0.5,0.375,0.75,0.125,0.375,0.125,0.25,0.375,0.25,0.375,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.375,0.125,0.5,0.375,0.5,0.625,0.25,0.25
17520,1.0,1.0,1.0,1.0,1.0,0.5,0.375,0.75,0.25,0.25,0.125,0.25,0.25,0.125,0.5,0.125,0.0,0.25,0.25,0.25,0.125,0.125,0.125,0.5,0.25,0.375,0.25,0.375,0.5,0.125,0.125
17521,1.0,1.0,1.0,1.0,1.0,0.625,0.375,0.75,0.375,0.125,0.0,0.125,0.25,0.0,0.5,0.25,0.125,0.25,0.125,0.125,0.0,0.125,0.0,0.5,0.125,0.375,0.375,0.375,0.375,0.25,0.25
17522,1.0,1.0,1.0,1.0,1.0,0.75,0.375,0.75,0.375,0.125,0.0,0.25,0.25,0.0,0.625,0.375,0.0,0.375,0.0,0.0,0.125,0.0,0.125,0.5,0.25,0.375,0.375,0.25,0.25,0.375,0.25
17523,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.75,0.375,0.25,0.0,0.25,0.375,0.125,0.75,0.25,0.0,0.5,0.125,0.125,0.25,0.125,0.0,0.5,0.375,0.25,0.5,0.125,0.125,0.25,0.125
17524,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.75,0.375,0.125,0.125,0.125,0.25,0.0,0.75,0.125,0.125,0.375,0.25,0.0,0.125,0.0,0.125,0.625,0.5,0.125,0.375,0.25,0.25,0.125,0.0
17525,1.0,1.0,1.0,1.0,1.0,0.875,0.5,0.875,0.375,0.125,0.25,0.25,0.25,0.125,0.625,0.25,0.0,0.375,0.125,0.125,0.25,0.0,0.0,0.5,0.375,0.25,0.375,0.125,0.125,0.0,0.125
17526,1.0,1.0,1.0,1.0,1.0,0.875,0.375,0.875,0.5,0.0,0.25,0.375,0.375,0.0,0.5,0.375,0.125,0.375,0.125,0.25,0.125,0.125,0.0,0.5,0.25,0.125,0.5,0.0,0.25,0.125,0.25
17527,1.0,1.0,1.0,1.0,1.0,0.875,0.375,0.875,0.625,0.0,0.125,0.25,0.25,0.125,0.375,0.25,0.125,0.25,0.25,0.125,0.0,0.25,0.125,0.5,0.125,0.0,0.5,0.125,0.125,0.0,0.375
17528,1.0,1.0,1.0,1.0,1.0,0.875,0.375,0.875,0.625,0.125,0.0,0.125,0.375,0.0,0.25,0.25,0.25,0.125,0.125,0.25,0.125,0.375,0.0,0.5,0.25,0.125,0.375,0.25,0.25,0.125,0.5
17529,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.875,0.625,0.0,0.125,0.125,0.25,0.125,0.375,0.125,0.125,0.0,0.0,0.375,0.25,0.25,0.125,0.375,0.375,0.25,0.5,0.125,0.375,0.0,0.625
17530,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.875,0.625,0.125,0.0,0.125,0.125,0.0,0.25,0.0,0.125,0.125,0.125,0.5,0.25,0.375,0.25,0.25,0.25,0.375,0.625,0.25,0.25,0.125,0.5
17531,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.875,0.625,0.25,0.125,0.25,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.375,0.125,0.25,0.25,0.125,0.375,0.25,0.625,0.375,0.375,0.0,0.625
17532,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.75,0.75,0.25,0.25,0.125,0.0,0.0,0.25,0.25,0.125,0.0,0.125,0.375,0.0,0.125,0.375,0.25,0.5,0.125,0.75,0.5,0.5,0.125,0.5
17533,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.625,0.75,0.125,0.375,0.125,0.125,0.125,0.125,0.375,0.0,0.125,0.25,0.25,0.125,0.25,0.5,0.125,0.375,0.0,0.75,0.625,0.375,0.0,0.5
17534,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.75,0.0,0.25,0.0,0.125,0.0,0.125,0.5,0.125,0.25,0.125,0.125,0.0,0.375,0.375,0.125,0.25,0.125,0.625,0.625,0.25,0.0,0.375
17535,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.75,0.125,0.375,0.125,0.25,0.125,0.25,0.625,0.25,0.125,0.25,0.25,0.125,0.375,0.375,0.0,0.375,0.125,0.625,0.5,0.125,0.125,0.25
