,temp=0.01,temp=1.0807142857142857,temp=2.1514285714285712,temp=3.222142857142857,temp=4.292857142857143,temp=5.363571428571428,temp=6.434285714285714,temp=7.505,temp=8.575714285714286,temp=9.64642857142857,temp=10.717142857142857,temp=11.787857142857144,temp=12.858571428571429,temp=13.929285714285713,temp=15.0
9458,1.0,1.0,1.0,0.0,0.0,0.625,0.5,0.75,0.5,0.375,0.25,0.125,0.0,0.375,0.125
9459,1.0,1.0,1.0,0.0,0.125,0.5,0.375,0.75,0.375,0.25,0.125,0.25,0.0,0.25,0.0
9460,1.0,1.0,1.0,0.125,0.0,0.625,0.25,0.75,0.25,0.375,0.0,0.25,0.125,0.375,0.125
9461,1.0,1.0,1.0,0.25,0.0,0.625,0.375,0.625,0.25,0.375,0.125,0.125,0.25,0.5,0.25
9462,1.0,1.0,1.0,0.375,0.125,0.625,0.5,0.5,0.25,0.5,0.0,0.25,0.375,0.375,0.125
9463,1.0,1.0,1.0,0.25,0.0,0.625,0.375,0.5,0.125,0.5,0.0,0.125,0.25,0.25,0.0
9464,1.0,1.0,1.0,0.375,0.125,0.625,0.5,0.375,0.25,0.625,0.125,0.0,0.375,0.125,0.125
9465,1.0,1.0,1.0,0.375,0.0,0.5,0.375,0.5,0.125,0.5,0.25,0.125,0.5,0.25,0.0
9466,1.0,1.0,1.0,0.375,0.0,0.375,0.25,0.375,0.25,0.375,0.25,0.0,0.375,0.375,0.125
9467,1.0,1.0,1.0,0.25,0.125,0.5,0.125,0.25,0.125,0.5,0.375,0.125,0.5,0.5,0.25
9468,1.0,1.0,1.0,0.375,0.0,0.625,0.25,0.25,0.125,0.375,0.25,0.25,0.375,0.5,0.375
9469,1.0,1.0,1.0,0.5,0.125,0.625,0.375,0.125,0.25,0.25,0.25,0.25,0.25,0.625,0.375
9470,1.0,1.0,1.0,0.625,0.25,0.625,0.5,0.0,0.125,0.375,0.375,0.125,0.375,0.5,0.25
9471,1.0,1.0,1.0,0.625,0.375,0.5,0.625,0.125,0.0,0.25,0.375,0.125,0.25,0.5,0.125
9472,1.0,1.0,1.0,0.625,0.375,0.375,0.625,0.0,0.125,0.375,0.25,0.25,0.125,0.375,0.0
9473,1.0,1.0,1.0,0.5,0.25,0.375,0.75,0.125,0.0,0.25,0.125,0.125,0.25,0.5,0.125
9474,1.0,1.0,1.0,0.625,0.25,0.25,0.75,0.0,0.125,0.375,0.25,0.25,0.125,0.5,0.25
9475,1.0,1.0,1.0,0.625,0.125,0.375,0.75,0.125,0.0,0.25,0.375,0.25,0.0,0.375,0.125
9476,1.0,1.0,1.0,0.75,0.25,0.25,0.75,0.25,0.125,0.25,0.5,0.375,0.125,0.25,0.0
9477,1.0,1.0,1.0,0.75,0.125,0.375,0.625,0.125,0.25,0.375,0.375,0.25,0.0,0.125,0.125
9478,1.0,1.0,1.0,0.75,0.0,0.5,0.75,0.0,0.375,0.5,0.25,0.125,0.125,0.25,0.25
9479,1.0,1.0,0.875,0.875,0.125,0.375,0.75,0.125,0.25,0.375,0.125,0.0,0.0,0.25,0.125
9480,1.0,1.0,0.875,0.875,0.0,0.25,0.625,0.25,0.125,0.25,0.25,0.125,0.125,0.125,0.25
9481,1.0,1.0,0.875,0.875,0.125,0.25,0.5,0.25,0.0,0.125,0.375,0.0,0.0,0.0,0.125
9482,1.0,1.0,0.875,0.875,0.25,0.25,0.625,0.375,0.125,0.25,0.25,0.125,0.125,0.0,0.25
9483,1.0,1.0,0.875,0.875,0.375,0.375,0.625,0.375,0.0,0.375,0.375,0.125,0.125,0.0,0.375
9484,1.0,1.0,0.875,0.875,0.5,0.5,0.5,0.5,0.125,0.5,0.5,0.25,0.0,0.125,0.25
9485,1.0,1.0,0.875,0.875,0.625,0.375,0.375,0.625,0.25,0.5,0.375,0.375,0.125,0.25,0.125
9486,1.0,1.0,0.875,0.875,0.5,0.25,0.375,0.625,0.375,0.375,0.25,0.25,0.25,0.375,0.25
9487,1.0,1.0,1.0,0.875,0.625,0.125,0.25,0.5,0.375,0.5,0.25,0.375,0.125,0.375,0.375
9488,1.0,1.0,1.0,0.875,0.75,0.25,0.375,0.5,0.375,0.375,0.125,0.375,0.25,0.5,0.25
9489,1.0,1.0,1.0,0.875,0.75,0.25,0.5,0.625,0.25,0.25,0.0,0.25,0.375,0.375,0.375
9490,1.0,1.0,1.0,0.875,0.75,0.125,0.375,0.75,0.125,0.25,0.125,0.125,0.375,0.375,0.25
9491,1.0,1.0,1.0,0.75,0.75,0.0,0.25,0.875,0.0,0.375,0.0,0.125,0.25,0.5,0.125
9492,1.0,1.0,1.0,0.75,0.625,0.125,0.125,0.75,0.0,0.5,0.125,0.25,0.25,0.375,0.125
9493,1.0,1.0,1.0,0.875,0.5,0.25,0.0,0.75,0.125,0.375,0.25,0.375,0.125,0.5,0.125
9494,1.0,1.0,1.0,0.875,0.5,0.125,0.0,0.75,0.125,0.25,0.375,0.25,0.25,0.5,0.25
9495,1.0,1.0,1.0,0.875,0.375,0.0,0.125,0.625,0.0,0.125,0.25,0.375,0.375,0.375,0.25
9496,1.0,1.0,1.0,1.0,0.25,0.125,0.25,0.5,0.125,0.0,0.375,0.25,0.5,0.5,0.125
9497,1.0,1.0,1.0,1.0,0.25,0.0,0.125,0.625,0.25,0.125,0.25,0.375,0.375,0.375,0.0
